Common name,Scientific name,Life span,Origin,Grazing response,Forage value,Stratum
Timber milk vetch,Astragalus miser,Perennial,Native,Increaser,Poor and poisonous,Graminoid
Tumbleweed,Amaranthus albus,Annual,Native,Invader,Poor,Graminoid
Water hemlock,Cicuta maculata,Perennial,Native,Increaser,Poor and poisonous,Graminoid
Water parsnip,Sium suave,Perennial,Native,Increaser,Poor,Graminoid
Water smartweed,Polygonum amphibium,Perennial,Native,Increaser,Poor,Graminoid
Wavy-leaved thistle,Cirsium undulatum,Perennial,Native,Increaser,Fair,Graminoid
Western Canada violet,Viola canadensis,Perennial,Native,Increaser,Fair,Graminoid
Western wood lily,Lilium philadelphicum,Perennial,Native,Decreaser,Fair,Graminoid
White camas,Zigadenus elegans,Perennial,Native,Increaser,Poor and poisonous,Graminoid
Wild blue flax,Linum lewisii,Perennial,Native,Increaser,Poor,Graminoid
Wild licorice,Glycyrrhiza lepidota,Perennial,Native,Increaser,Poor,Graminoid
Wild strawberry,Fragaria virginiata,Perennial,Native,Increaser,Poor,Graminoid
Yellow umbrella plant,Eriogonum flavum,Perennial,Native,lncreaser,Poor,Graminoid
Alder,Alnus spp.,Perennial,Native,Increaser,Poor,Shrub
Ball/pincushion cactus,Coryphantha vivapara,Perennial,Native,Increaser,Poor,Shrub
Buckbrush/wolfberry,Symphoricarpos occidentalis,Perennial,Native,lncreaser,Poor,Shrub
Bush cranberry,Viburnum spp.,Perennial,Native,Decreaser,Fair,Shrub
Canada buffalo-berry,Shepherdia canadensis,Perennial,Native,lncreaser,Poor,Shrub
Choke cherry,Prunus virginiana,Perennial,Native,Decreaser,Fair but young leaves poisonous,Shrub
Currants/gooseberry,Ribes spp.,Perennial,Native,lncreaser,Poor,Shrub
Dwarf/bog/water birch,Betula spp.,Perennial,Native,Increaser,Fair,Shrub
Greasewood,Sarcobatus vermiculatus,Perennial,Native,Increaser,Fair but Poisonous,Shrub
Honeysuckle,Loticera spp.,Perennial,Native,Increaser,Poor,Shrub
Juniper,Juniperus spp.,Perennial,Native,Increaser,Poor,Shrub
Kinnikinnick/bearberry,Arctostaphylos uva-ursi,Perennial,Native,lncreaser,Fair,Shrub
Mountain maple,Acer glabrum,Perennial,Native,Increaser,Fair,Shrub
Oregon grape (creeping mahonia),Berberis repens,Perennial,Native,Increaser,Poor,Shrub
Pin cherry,Prunus pensylvanica,Perennial,Native,Decreaser,Fair,Shrub
Prickly pear cactus,Opuntia spp.,Perennial,Native,Increaser,Poor,Shrub
Rabbit-brush,Chrysothamnus nauseosus,Perennial,Native,Invader,Poor and poisonous,Shrub
Red osier dogwood,Cornus stolonifera,Perennial,Native,Increaser,Good,Shrub
Roses,Rosa spp.,Perennial,Native,lncreaser,Poor,Shrub
Salt sage/Nuttall’s atriplex,Atriplex nuttallii,Perennial,Native,Decreaser,Good,Shrub
Saskatoon,Amelanchier alnifolia,Perennial,Native,Decreaser,Good,Shrub
Shrubby cinquefoil,Potentilla fruticosa,Perennial,Native,lncreaser,Poor,Shrub
Silver-berry/wolf willow,Elaeagnus commutata,Perennial,Native,lncreaser,Fair,Shrub
Thorny buffalo-berry,Shepherdia argentea,Perennial,Native,lncreaser,Poor,Shrub
Sagebrush,Artemisia cana,Perennial,Native,lncreaser,Fair,Shrub
Skunk-bush,Rhus trilobata,Perennial,Native,lncreaser,Poor,Shrub
Snowberry,Symphoricarpos albus,Perennial,Native,lncreaser,Poor,Shrub
Western mountain ash,Sorbus scopulina,Perennial,Native,Increaser,Fair,Shrub
Wild raspberry,Rubus idaeus,Perennial,Native,Increaser,Fair,Shrub
Willows,Salix spp.,Perennial,Native,lncreaser,Fair,Shrub
Winter fat,Eurotia lanata,Perennial,Native,Decreaser,Good,Shrub
Aspen poplar,Populus tremuloides,Perennial,Native,Increaser/Invader,Fair,Tree
Balsam poplar/cottonwoods,Populus spp.,Perennial,Native,Increaser,Poor,Tree
Paper/white birch,Betula papyrifera,Perennial,Native,Increaser,Fair,Tree
Pines,Pinus spp.,Perennial,Native,Increaser,Poor,Tree
Spruce,Picea spp.,Perennial,Native,Increaser,Poor,Tree
Tamarak,Latrix laricina,Perennial,Native,Increaser,Poor,Tree
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
